leaf_MBR_1,36, 914, 99, 1209
leaf_MBR_2,69, 850, 1478, 2423
leaf_MBR_3,222, 918, 2535, 3092
leaf_MBR_4,34, 990, 3144, 3709
leaf_MBR_5,172, 911, 3788, 4426
leaf_MBR_6,100, 896, 4436, 5661
leaf_MBR_7,180, 957, 5828, 6564
leaf_MBR_8,26, 909, 6710, 7710
leaf_MBR_9,111, 815, 8038, 8769
leaf_MBR_10,14, 929, 8780, 9422
leaf_MBR_11,41, 865, 9719, 10363
leaf_MBR_12,93, 704, 10384, 11783
leaf_MBR_13,274, 928, 11994, 13112
leaf_MBR_14,73, 999, 13123, 13651
leaf_MBR_15,0, 990, 13874, 14676
leaf_MBR_16,19, 981, 14913, 15465
leaf_MBR_17,189, 866, 15512, 16461
leaf_MBR_18,30, 998, 16589, 17913
leaf_MBR_19,114, 978, 17936, 18597
leaf_MBR_20,28, 960, 18626, 19644
leaf_MBR_21,104, 983, 19691, 20611
leaf_MBR_22,127, 919, 20650, 21629
leaf_MBR_23,51, 830, 21633, 22659
leaf_MBR_24,4, 890, 22666, 23357
leaf_MBR_25,113, 832, 23368, 24148
leaf_MBR_26,115, 967, 24710, 25756
leaf_MBR_27,207, 761, 25756, 27060
leaf_MBR_28,25, 953, 27135, 28352
leaf_MBR_29,224, 966, 28577, 29288
leaf_MBR_30,5, 822, 29365, 30458
leaf_MBR_31,182, 985, 30485, 31069
leaf_MBR_32,119, 768, 31257, 32194
leaf_MBR_33,146, 983, 32198, 32786
leaf_MBR_34,22, 971, 32825, 34898
leaf_MBR_35,108, 920, 34936, 36012
leaf_MBR_36,6, 839, 36054, 37028
leaf_MBR_37,109, 980, 37061, 38051
leaf_MBR_38,120, 907, 38118, 39077
leaf_MBR_39,75, 936, 39101, 40638
leaf_MBR_40,31, 953, 40719, 41508
leaf_MBR_41,35, 927, 41565, 42954
leaf_MBR_42,53, 841, 43163, 44325
leaf_MBR_43,45, 994, 44330, 45220
leaf_MBR_44,33, 851, 45506, 46497
leaf_MBR_45,229, 958, 46526, 47614
leaf_MBR_46,297, 979, 47668, 48777
leaf_MBR_47,99, 735, 48789, 49787
leaf_MBR_48,178, 959, 49838, 50557
leaf_MBR_49,215, 920, 50728, 51559
leaf_MBR_50,26, 950, 51608, 52507
leaf_MBR_51,203, 808, 52573, 53583
leaf_MBR_52,89, 770, 53653, 54675
leaf_MBR_53,250, 998, 55018, 55718
leaf_MBR_54,341, 995, 55836, 57183
leaf_MBR_55,262, 856, 57325, 58296
leaf_MBR_56,58, 907, 58666, 59197
leaf_MBR_57,1, 765, 59674, 60674
leaf_MBR_58,110, 998, 60759, 61620
leaf_MBR_59,61, 984, 61659, 62780
leaf_MBR_60,194, 862, 62850, 64020
leaf_MBR_61,255, 966, 64066, 65550
leaf_MBR_62,177, 928, 65671, 66339
leaf_MBR_63,22, 978, 66563, 67083
leaf_MBR_64,44, 716, 67120, 67624
leaf_MBR_65,243, 960, 67642, 68695
leaf_MBR_66,17, 825, 68773, 69868
leaf_MBR_67,193, 979, 69904, 70948
leaf_MBR_68,37, 950, 71027, 72145
leaf_MBR_69,7, 996, 72147, 72630
leaf_MBR_70,27, 940, 72648, 73250
leaf_MBR_71,119, 939, 73276, 74019
leaf_MBR_72,203, 968, 74382, 75096
leaf_MBR_73,96, 974, 75184, 76438
leaf_MBR_74,223, 868, 76497, 77186
leaf_MBR_75,169, 955, 77225, 77803
leaf_MBR_76,219, 969, 77900, 78889
leaf_MBR_77,41, 866, 78943, 79935
leaf_MBR_78,80, 903, 79959, 80694
leaf_MBR_79,134, 974, 80740, 81372
leaf_MBR_80,21, 786, 81423, 82265
leaf_MBR_81,47, 985, 82327, 83689
leaf_MBR_82,69, 873, 83841, 84726
leaf_MBR_83,86, 896, 84774, 85202
leaf_MBR_84,15, 955, 85209, 85525
leaf_MBR_85,138, 984, 85616, 86246
leaf_MBR_86,105, 895, 86279, 87386
leaf_MBR_87,51, 963, 87386, 88015
leaf_MBR_88,24, 619, 88040, 88918
leaf_MBR_89,447, 915, 89019, 89962
leaf_MBR_90,82, 890, 90082, 90990
leaf_MBR_91,103, 950, 91007, 91927
leaf_MBR_92,41, 980, 92179, 93100
leaf_MBR_93,168, 986, 93175, 94326
leaf_MBR_94,107, 977, 94475, 94943
leaf_MBR_95,227, 884, 95123, 96002
leaf_MBR_96,56, 966, 96371, 97440
leaf_MBR_97,274, 963, 97670, 98644
leaf_MBR_98,59, 982, 98656, 99593
leaf_MBR_99,87, 1829, 73, 99929
leaf_MBR_100,1026, 1923, 825, 1462
leaf_MBR_101,1085, 1975, 1812, 2452
leaf_MBR_102,1033, 1956, 2470, 3311
leaf_MBR_103,1028, 1973, 3382, 4389
leaf_MBR_104,1107, 1928, 4674, 5715
leaf_MBR_105,1073, 1747, 5806, 6575
leaf_MBR_106,1172, 1949, 6594, 7402
leaf_MBR_107,1085, 1951, 7605, 8564
leaf_MBR_108,1107, 1911, 8621, 9282
leaf_MBR_109,1041, 1943, 9379, 10003
leaf_MBR_110,1104, 1969, 10140, 11539
leaf_MBR_111,1036, 1731, 11678, 12765
leaf_MBR_112,1133, 1772, 12969, 13660
leaf_MBR_113,1178, 1922, 13750, 14668
leaf_MBR_114,1006, 1758, 14975, 15959
leaf_MBR_115,1143, 1814, 16058, 16597
leaf_MBR_116,1008, 1840, 16724, 18136
leaf_MBR_117,1158, 1609, 18361, 19170
leaf_MBR_118,1024, 1838, 19193, 19620
leaf_MBR_119,1012, 1939, 19830, 20452
leaf_MBR_120,1084, 1900, 20499, 20943
leaf_MBR_121,1107, 1930, 21074, 21902
leaf_MBR_122,1247, 1995, 22005, 23023
leaf_MBR_123,1087, 1892, 23258, 24595
leaf_MBR_124,1131, 1911, 24645, 26008
leaf_MBR_125,1003, 1959, 26197, 27098
leaf_MBR_126,1092, 1843, 27122, 27777
leaf_MBR_127,1239, 1870, 27778, 29270
leaf_MBR_128,1003, 1929, 29276, 29689
leaf_MBR_129,1066, 1986, 29772, 30230
leaf_MBR_130,1082, 1967, 30265, 30960
leaf_MBR_131,1062, 1927, 31112, 32049
leaf_MBR_132,1021, 1994, 32257, 33577
leaf_MBR_133,1008, 1942, 33691, 34831
leaf_MBR_134,1004, 1971, 34875, 35608
leaf_MBR_135,1012, 1912, 35616, 36596
leaf_MBR_136,1103, 1899, 36604, 37072
leaf_MBR_137,1060, 1945, 37073, 38000
leaf_MBR_138,1024, 1898, 38018, 38881
leaf_MBR_139,1125, 1995, 38894, 39677
leaf_MBR_140,1033, 1754, 39841, 40521
leaf_MBR_141,1022, 1813, 40756, 41567
leaf_MBR_142,1051, 1894, 41779, 42491
leaf_MBR_143,1016, 1876, 42627, 43796
leaf_MBR_144,1047, 1964, 43880, 44777
leaf_MBR_145,1115, 1557, 44891, 45791
