leaf1,(680, 99), (884, 120), (842, 148), (881, 322), (914, 485), (250, 556), (36, 953), (43, 1173), (459, 1178), (876, 1209)
leaf2,(620, 1478), (69, 1532), (146, 1534), (332, 1642), (719, 1644), (74, 1647), (465, 1855), (246, 2060), (850, 2074), (509, 2423)
leaf3,(907, 2535), (355, 2634), (465, 2645), (415, 2662), (222, 2903), (522, 2965), (766, 3009), (689, 3041), (396, 3065), (918, 3092)
leaf4,(48, 3144), (442, 3220), (509, 3340), (454, 3440), (34, 3474), (990, 3556), (403, 3634), (853, 3643), (669, 3649), (710, 3709)
leaf5,(612, 3788), (680, 3820), (911, 3908), (172, 3961), (394, 4016), (848, 4081), (495, 4255), (173, 4266), (632, 4275), (784, 4426)
leaf6,(103, 4436), (100, 4762), (632, 4911), (370, 4999), (686, 5034), (169, 5228), (131, 5312), (896, 5445), (508, 5586), (570, 5661)
leaf7,(458, 5828), (957, 5908), (180, 6035), (772, 6171), (492, 6198), (590, 6259), (587, 6319), (348, 6443), (425, 6552), (233, 6564)
leaf8,(483, 6710), (869, 6760), (459, 6792), (26, 6803), (765, 6949), (849, 7336), (546, 7456), (79, 7650), (909, 7687), (604, 7710)
leaf9,(156, 8038), (393, 8115), (619, 8140), (111, 8169), (702, 8422), (306, 8572), (234, 8585), (815, 8603), (779, 8712), (326, 8769)
leaf10,(384, 8780), (216, 9064), (713, 9085), (674, 9088), (929, 9229), (693, 9254), (710, 9323), (192, 9383), (14, 9384), (867, 9422)
leaf11,(828, 9719), (790, 9933), (865, 10046), (101, 10138), (865, 10232), (549, 10243), (858, 10283), (861, 10288), (733, 10355), (41, 10363)
leaf12,(704, 10384), (483, 10707), (395, 10723), (185, 10742), (610, 10755), (489, 10983), (142, 11169), (642, 11311), (669, 11461), (93, 11783)
leaf13,(508, 11994), (423, 12052), (832, 12132), (740, 12170), (688, 12280), (451, 12299), (928, 12676), (864, 12969), (274, 13092), (854, 13112)
leaf14,(355, 13123), (144, 13137), (73, 13173), (978, 13179), (161, 13181), (623, 13344), (555, 13421), (999, 13540), (333, 13580), (644, 13651)
leaf15,(699, 13874), (0, 13998), (665, 14001), (990, 14156), (566, 14171), (329, 14245), (233, 14313), (332, 14513), (955, 14610), (54, 14676)
leaf16,(981, 14913), (387, 15030), (441, 15171), (688, 15248), (736, 15338), (736, 15340), (19, 15393), (240, 15436), (963, 15445), (955, 15465)
leaf17,(680, 15512), (189, 15587), (803, 15618), (459, 15807), (485, 15940), (481, 15952), (716, 16092), (516, 16137), (429, 16281), (866, 16461)
leaf18,(998, 16589), (30, 16901), (975, 16910), (592, 17104), (893, 17278), (501, 17576), (368, 17652), (255, 17667), (210, 17698), (40, 17913)
leaf19,(891, 17936), (833, 17939), (114, 18123), (553, 18123), (978, 18237), (460, 18342), (379, 18388), (780, 18457), (184, 18498), (899, 18597)
leaf20,(28, 18626), (254, 18640), (810, 18703), (802, 18732), (960, 18763), (877, 18878), (835, 19274), (101, 19304), (429, 19555), (108, 19644)
leaf21,(983, 19691), (786, 19781), (665, 19863), (713, 19866), (276, 19953), (871, 20052), (355, 20242), (963, 20352), (706, 20598), (104, 20611)
leaf22,(728, 20650), (919, 20779), (795, 20826), (363, 20917), (535, 21065), (499, 21076), (671, 21217), (127, 21448), (664, 21606), (441, 21629)
leaf23,(223, 21633), (381, 21647), (510, 21729), (410, 21757), (830, 21780), (51, 21858), (73, 21938), (221, 22033), (355, 22187), (676, 22659)
leaf24,(4, 22666), (841, 22692), (119, 22715), (470, 22777), (313, 22800), (612, 22910), (890, 22951), (26, 23075), (801, 23270), (24, 23357)
leaf25,(113, 23368), (196, 23446), (809, 23636), (347, 23673), (832, 23704), (147, 23801), (566, 23859), (821, 23910), (614, 23962), (669, 24148)
leaf26,(908, 24710), (967, 24721), (527, 24971), (290, 25042), (319, 25269), (257, 25365), (916, 25621), (431, 25707), (835, 25728), (115, 25756)
leaf27,(207, 25756), (761, 26120), (529, 26272), (631, 26315), (358, 26436), (359, 26734), (464, 26765), (615, 26845), (305, 27059), (439, 27060)
leaf28,(303, 27135), (892, 27257), (742, 27399), (333, 27438), (953, 27516), (950, 28087), (362, 28203), (678, 28299), (25, 28323), (896, 28352)
leaf29,(638, 28577), (279, 28588), (677, 28588), (966, 28599), (224, 28671), (933, 28800), (359, 28918), (922, 29016), (673, 29240), (554, 29288)
leaf30,(5, 29365), (421, 29381), (602, 29389), (49, 29398), (822, 29598), (765, 30103), (302, 30153), (328, 30171), (612, 30309), (151, 30458)
leaf31,(400, 30485), (985, 30518), (182, 30590), (387, 30599), (394, 30653), (739, 30736), (672, 30772), (685, 30784), (300, 30949), (332, 31069)
leaf32,(768, 31257), (647, 31637), (489, 31723), (119, 31772), (284, 31784), (698, 31793), (272, 31879), (342, 32010), (370, 32145), (290, 32194)
leaf33,(146, 32198), (358, 32271), (950, 32436), (223, 32543), (394, 32543), (848, 32572), (983, 32618), (155, 32655), (709, 32712), (237, 32786)
leaf34,(101, 32825), (701, 32843), (854, 32873), (971, 32901), (431, 33195), (346, 34045), (553, 34415), (896, 34697), (807, 34864), (22, 34898)
leaf35,(172, 34936), (108, 35107), (920, 35410), (302, 35415), (438, 35459), (275, 35593), (327, 35676), (412, 35741), (718, 35747), (749, 36012)
leaf36,(558, 36054), (330, 36110), (97, 36152), (447, 36325), (6, 36387), (754, 36580), (503, 36628), (125, 36784), (839, 36908), (780, 37028)
leaf37,(980, 37061), (370, 37134), (136, 37135), (147, 37171), (166, 37272), (399, 37586), (109, 37597), (133, 37725), (899, 37860), (695, 38051)
leaf38,(832, 38118), (120, 38200), (527, 38364), (272, 38681), (907, 38685), (640, 38715), (893, 38887), (742, 39027), (899, 39065), (184, 39077)
leaf39,(936, 39101), (509, 39574), (658, 39648), (93, 39861), (296, 39904), (898, 40125), (233, 40153), (872, 40160), (407, 40513), (75, 40638)
leaf40,(399, 40719), (132, 40721), (854, 40767), (352, 41142), (864, 41149), (818, 41284), (953, 41290), (120, 41406), (31, 41499), (672, 41508)
leaf41,(800, 41565), (528, 41604), (371, 42197), (921, 42198), (486, 42351), (790, 42698), (927, 42731), (722, 42737), (35, 42832), (280, 42954)
leaf42,(732, 43163), (249, 43248), (189, 43343), (841, 43438), (450, 43719), (394, 43855), (291, 43872), (346, 43909), (53, 44239), (545, 44325)
leaf43,(994, 44330), (725, 44516), (788, 44527), (747, 44563), (98, 44614), (385, 44625), (708, 44677), (371, 44884), (45, 45139), (289, 45220)
leaf44,(637, 45506), (666, 45538), (792, 45602), (454, 45892), (473, 45943), (581, 46001), (146, 46121), (851, 46204), (33, 46328), (844, 46497)
leaf45,(229, 46526), (958, 46652), (382, 46676), (660, 46763), (234, 46797), (435, 46826), (514, 46877), (362, 46918), (471, 47093), (747, 47614)
leaf46,(979, 47668), (910, 47694), (636, 47743), (768, 47793), (297, 47961), (436, 48007), (484, 48199), (871, 48280), (669, 48497), (566, 48777)
leaf47,(198, 48789), (171, 48959), (629, 49232), (698, 49272), (508, 49301), (322, 49390), (488, 49522), (634, 49639), (735, 49766), (99, 49787)
leaf48,(684, 49838), (429, 49860), (533, 49865), (347, 49953), (180, 50039), (959, 50106), (178, 50117), (258, 50246), (556, 50326), (642, 50557)
leaf49,(749, 50728), (237, 50758), (920, 50822), (276, 50902), (743, 50991), (718, 51055), (215, 51275), (678, 51493), (706, 51523), (634, 51559)
leaf50,(240, 51608), (434, 51838), (31, 51957), (578, 51972), (734, 52070), (535, 52318), (950, 52416), (787, 52462), (191, 52478), (26, 52507)
leaf51,(325, 52573), (474, 52621), (297, 52660), (255, 52858), (248, 52917), (581, 53015), (280, 53063), (203, 53154), (502, 53208), (808, 53583)
leaf52,(301, 53653), (741, 53790), (737, 53820), (446, 53890), (89, 53959), (219, 54023), (475, 54106), (770, 54253), (466, 54273), (225, 54675)
leaf53,(587, 55018), (250, 55029), (921, 55387), (720, 55403), (998, 55418), (934, 55623), (830, 55637), (871, 55642), (851, 55655), (871, 55718)
leaf54,(449, 55836), (794, 56005), (994, 56008), (746, 56604), (995, 56739), (429, 56784), (952, 57067), (341, 57170), (573, 57181), (390, 57183)
leaf55,(813, 57325), (262, 57339), (856, 57388), (331, 57487), (742, 57829), (576, 57982), (765, 58063), (679, 58116), (321, 58292), (823, 58296)
leaf56,(873, 58666), (58, 58693), (532, 58704), (659, 58756), (907, 58847), (518, 58883), (832, 58944), (344, 58992), (698, 59134), (744, 59197)
leaf57,(449, 59674), (615, 59741), (132, 59991), (291, 60045), (605, 60192), (373, 60207), (583, 60216), (1, 60362), (168, 60448), (765, 60674)
leaf58,(382, 60759), (891, 60801), (570, 60821), (998, 60828), (165, 60869), (597, 60933), (272, 61049), (417, 61110), (110, 61439), (851, 61620)
